id,Categories,Response,Further Responses,Notes,
B07L5WYWG6,North Pole Elf Tracker,"open elf tracker

Ok, Here's North Pole Elf Tracker

<Short audio>

Hey! Great to meet you! My name is Emma the Elf, and my job is to monitor elf behaviour. We've had reports of naughty elves visiting some homes this Christmas, so I've been asked by Santa to log all elf mischief I see. But, I get sleigh sick, so I can't travel from the north pole to keep an eye on the elves myself. I need your help! Will you help me track the elves?

yes

Oh, that's great news! Right then, here goes. Time for me to use my official voice.Welcome to Elf Tracker! Would you like to report seeing an elf in your house?

yes

Brilliant! This will be so helpful for Santa. Which room did you see the Elf in?

yes

So, he was in the YES. Interesting. Was he being naughty or nice?

yes

So, when you saw him in the YES, what was he doing?

playing

<Short audio>

OK, let's see what I've got on my Elf sighting report. So, you found your Elf in the YES today, being YES, by playing. Shall I send this report over to the Elf Trackers at the North Pole?

quit",,,http://studio-flow.co.uk/alexa-skill-privacy-policy
B07JWKGM5Z,Silly Sums,"open silly sums

Ok, Here's Silly Sums

Welcome to Silly Sums! To play, ask me for a silly sum and I will ask you for the answer to a sum, but with a twist! All you need to do is answer the sum, but just for fun, you can also make up the name of the animals.

test

What is 8 elephants divided by 4 anteaters?

2

What is 6 lizards divided by 3 aardvaarks?

2

What is 8 lizards minus 2 aardvaarks?

2

What is 3 caribous plus 9 baboons?

3

What is 54 pigs divided by 9 iguanas?

4

What is 48 horses divided by 8 seals?

quit",,,http://theappyslappers.com/sillysums.html
B07T7GXYVZ,Marti Math,"open marti math.

Ok, Here's Marti Math

Welcome to Marti's Math Exercises. Say, 'fast facts' to do high speed fact drills. You can always say 'tips' to get a little help.

fast facts

I'll be asking you short, easy, math problems that are meant to be memorized, like two times two. We'll go fast. You'll have a few seconds to answer. If you hit a problem you can't solve say, 'pass'. If you want to stop the drill say 'stop'. Otherwise, you can just tell me the answer. Okay?

yes

Let's do a run of multiplication problems. What is 6 times 5 ?

1

Come again . You can say pass, stop, stats, or tips.

30

Sorry, say again . You can say pass, stop, stats, or tips.

pass

Okay. We'll skip that one. What is 9 times 8 ?

72

Come again .

tips

Here are some tips. Saying stop will end this drill. Saying pass will skip the current question. Saying stats will give you info about how many you've gotten right. That's all the tips I have.

quit",,,http://vocaltango.com/privpol/marti_math-pp.html
B078L1NNTY,Kid Quest,"start kid quest

Ok, Here's Kid Quest

Good evening .Welcome to Kid Quest, an interactive journey through time and space.Do you want to start your quest now?

yes

Very well. Now, put on your thinking caps and venture forth towards your wildest imagination.

<Short audio>

Dr. Zhivago’s quantum time machine is on the fritz. He needs our help!

<Short audio>

What happened Dr. Zhivago?

<Short audio>

help

Thank you for playing Kid Quest. The interactive stories are weaved with puzzles and filled with information to make the experience both fun and educational. To launch the skill, you can ask Alexa, start Kid Quest. Following the start of the skill you will be launched into the storyline. Do you want to continue your quest?

yes

Very well. Now, put on your thinking caps and venture forth towards your wildest imagination.

quit",,,http://www.35personalities.com/privacy-policy/
B07KK5RNST,Adventures of Moose and Goose,not found,,,http://www.adventuresofmooseandgoose.com/privacy-policy/
B07LF5NN89,Albany Music School,"open albany music school

Ok, Here's Albany Music School

Welcome to Albany Music School! I can play short music samples. I can also tell you little bit about our school. Just ask. Ask me also about our address, directions to the school and our phone number

phone number

Our phone number is: (510) 528 4047

address

I can find samples by genre, instrument and ensemble size. For example you can say I would like to hear strings quarted or Play sample with piano or I like classical music.

help

I can play short music samples. I can also tell you little bit about our school. Ask me also about our address, directions to the school and our phone number.

quit",,,http://www.albanymusicschool.com/privacy_policy.html
B07K7JFT6X,WordOfTheDay,"open word of the day

Ok, Here's Word of the Day for Wordnik

The word of the day for Tuesday, August 11 is afterclap. Spelled, A. F. T. E. R. C. L. A. P., afterclap is a noun and defined as, ""An unexpected subsequent event; something happening after an affair is supposed to be at an end.."" For example, ""The sound woke him some mornings when the planes flew right over and sometimes he stood outside his quarters before nightfall and watched the matched contrails of half a dozen aircraft in tight formation, the planes themselves long gone, but it was the drag and sonic shock, this is what awed and moved him, and then the afterclap rolling off the mountains, like they were blowing out a seam in the world..""; afterclap.

continue

Sorry, there is nothing for me to resume.

help

For Help, please visit the help pages on the Amazon web site.

quit",,,http://www.alexa.com/help/privacy
B081N67JMX,Alvaro Pizza,"open alvaro pizza

Welcome to Alvaro Pizza, you can say Hello or Help. Which would you like to try?

help

You can say hello to me! How can I help?

hello

You can say hello to me! How can I help?

Quit",,,http://www.amazon.com/
B078JN2T33,Kid's Kazamo,"open kids kazamo

Ok, Here's Kid's Kazamo

Welcome to Kids Kazamo.

<Short audio>

I will play 6 songs and you have to guess the name. The faster you get it right, the more points you get!Ready to start?

yes

ok. Let's start. When you know the answer say 'Alexa' to interrupt the song, then the song name. Here is your first song.

<Short audio>

i don't know

<Short audio>

The answer is 'ring around the rosie'. You got 0 points for that round so your current score remains 0You have 5 songs left. Say 'Next Song' to continue to the next song.

next song

That song was ring around the rosie. You scored 0 for that song. You're score remains 0. Here is your next song.

<Short audio>

i don't know

<Short audio>

The answer is 'scooby do where are you'. You got 0 points for that round so your current score remains 0You have 4 songs left. Say 'Next Song' to continue to the next song.",,,http://www.badmoondev.com/privacy.html
B074PCZXXN,Trick or Treat,"open trick or treat

Ok, Here's Trick or Treat

<Short audio>

Welcome to Trick or Treat. As you go out this Halloween, you will need to visit houses to get candy. As the doors open, say ""trick or treat"" and receive either a candy or a scary trick. Once you have visited 7 houses, you must head back home. But be warned if you receive 3 tricks, your turn will be over and you must head back home. As you get candy, you will unlock more achievements. Your are in Lower Woodland where there are lots of basic animals. Your next journey starts with your next door neighbor. You approach the house. You ring the door bell.

continue

trick. You received a Ghost

<Short audio>

You have 0 treats and 1 tricks this turn. You can go to the house on the left, the right, or across the street. Where would you like to go?

left

You picked the house on the left. You approach the house. You ring the door bell.

<Short audio>

<Short audio>

Something in front of you makes a sound

<Short audio>

an Elephant! What do you say to an Elephant?

hello

trick. You received a Ghost

<Short audio>

You have 0 treats and 2 tricks this turn. You can go to the house on the left, the right, or across the street. Where would you like to go?",,,http://www.freshdigitalgroup.com/privacy-policy-for-bots/
B075R1YDZ5,Genius Math,"open genius math

Ok, Here's Genius Math

Welcome to Genius Math. What would you like to do - train, or play a match?

train

Starting a training session. We will continue until you say stop, or you get 3 wrong answers - Training begins now;What is 5 plus 0

1

Starting a match with 2 players. Let's see who has the best math skills!Player 1What is 1 plus 3                                                                         Welcome to help. Genius math is a math game that tests your math skills starting with basic addition and working up through multiplication and division. You can start a match my saying, start a match. You can start training by saying, start training. During training or a match - answer the math question by saying the answer by itself or in a complete sentence such as, the answer is 42. So, what would you like to do?",,,http://www.geniuscreate.org/privacy.html
